"track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","multiple_artist","top100","rank","Major","Minor","CSharp","FSharp","D","ASharp","GSharp","G","B","A","E","DSharp","F","taylor_swift","bad_bunny","the_weeknd","drake","peso_pluma"
"Don't Be Shy","tiï¿½ï¿½sto, kar",2,2021,8,1,6026,0,566954746,171,51,187,1,21,120,77,51,79,20,0,26,6,1,0,"Top 500",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Still Don't Know My Name","labrinth",1,2019,10,4,6332,0,563902868,47,116,266,0,0,88,31,31,63,47,27,21,12,0,0,"Top 500",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"family ties (with Kendrick Lamar)","kendrick lamar, baby keem",2,2021,8,27,6308,5,560222750,114,15,63,0,2,134,71,14,61,1,0,23,33,1,0,"Top 500",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WAIT FOR U (feat. Drake & Tems)","drake, future, tems",3,2022,4,27,5491,14,556585270,128,84,75,0,35,83,46,34,64,31,0,7,34,1,0,"Top 500",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Formula","labrinth",1,2019,10,4,3444,7,554875730,24,85,102,0,1,145,57,23,66,4,6,15,4,0,0,"Top 500",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"La Bebe - Remix","peso pluma, yng lvcas",2,2023,3,17,2953,44,553634067,49,110,66,13,339,170,81,56,48,21,0,8,33,1,0,"Top 500",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Pink Venom","blackpink",1,2022,8,19,1963,16,551305895,57,119,77,1,13,90,80,71,69,2,0,27,10,0,0,"Top 500",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Envolver","anitta",1,2021,11,11,4673,2,546191065,123,113,180,1,4,92,81,40,73,15,0,9,8,0,0,"Top 500",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Es un Secreto","plan b",1,2010,7,20,492,36,540654286,4,3,19,0,0,95,84,52,77,12,0,7,4,0,0,"Top 500",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Love Nwantiti - Remix","ckay, ax'el, dj yo!",3,2019,8,30,2696,0,540539717,42,2,57,0,NA,120,58,44,60,44,9,5,6,1,0,"Top 500",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"One Right Now (with The Weeknd)","the weeknd, post malone",2,2021,11,5,4771,0,539595276,68,18,75,0,1,97,68,72,78,4,0,7,5,1,0,"Top 500",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"La Jumpa","arcangel, bad bunny",2,2022,11,30,3794,34,538115192,47,77,53,10,8,123,71,58,70,30,0,32,19,1,0,"Top 500",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Escapism.","raye, 070 shake",2,2022,10,12,5129,25,532336353,116,84,114,18,348,96,54,25,74,14,0,9,11,1,0,"Top 500",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meet Me At Our Spot","the anxiety, willow, tyler cole",3,2020,3,13,6734,0,530511203,47,14,90,0,1,95,77,40,47,2,0,9,3,1,0,"Top 500",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AM Remix","j balvin, nio garcia, bad bunny",3,2021,6,24,6556,0,528544703,93,5,67,1,0,172,74,79,66,11,0,8,16,1,0,"Top 500",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Yo Voy (feat. Daddy Yankee)","zion & lennox",1,2004,5,4,2954,2,527033089,18,82,0,0,5,95,81,56,70,4,0,5,24,0,0,"Top 500",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
